id,name,description,imageUrl,productSize,file,price,quantity,currency,type,createdAt,updatedAt,isDiscounted,discountedPrice,subType
2,Bruno's Pasta,"Bruno's - Pasta Sauce has a very high nutritional value, is moderately processed, and is estimated to have a low carbon footprint and a low water footprint.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/products/brunoPasta.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/brunosPasta.glb,61,1498,usd,Grocery,2023-10-03 07:17:25,2023-10-19 13:02:33,1,55,Pasta
3,Doritos,"Corn, Vegetable Oil (Corn, Canola, And/or Sunflower Oil), Maltodextrin (Made From Corn), Salt, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Whey, Monosodium Glutamate, Buttermilk, Romano Cheese (Part-skim Cow's Milk, Cheese Cultures, Salt, Enzymes), Whey Protein Concentrate, Onion Powder, Corn Flour, Natural",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Doritos-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Doritos.glb,50,1482,usd,Snacks,2023-10-03 12:25:56,2023-10-19 13:02:33,1,40,Snacks
4,Almaral Milk,"Water, Milk Solids, Emulsifier: Vegetable Oil Origin (E471), Stabilizers (E407 and E412), Niacin, Vitamin E, Zinc Pantothenic Acid, Vitamin a, Vitamin D3, Vitamin B6, Vitamin B2, Thiamine, Folic Acid, Vitamin K1, Biotin, Vitamin B12.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Almaral+Milk-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/almaralMilk.glb,30,1960,usd,Dairy,2023-10-03 12:27:40,2023-10-19 13:02:35,1,25,Milk
5,Alpro Almond Milk,"Water, Almond (2.3%), Sugar, Calcium (Tri-calcium phosphate), Sea salt, Stabilisers (Locust bean gum, Gellan gum), Emulsifier (Lecithins (Sunflower)), Natural flavouring, Vitamins (B2, B12, E, D2).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Alpro+Almond+Milk-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/alproAlmondMilk.glb,10,1987,usd,Dairy,2023-10-04 05:11:01,2023-10-19 13:02:36,1,8,Milk
6,IBERIA Oil,"The bottle actually contains a blend comprised of 80 percent sunflower oil and 20 percent EVOO, according to the ingredients list on the back.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/IBERIA+Oil-min.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/iBERIAOil.glb,10,1988,usd,Grocery,2023-10-04 05:25:00,2023-10-19 13:02:52,0,8,Oil
7,Goya Veg Oil,"GOYA® Vegetable Oil is made from 100% USA-grown soybeans. Its neutral flavor and aroma allow the full flavors of your dishes to stand out. Use it to cook, fry, in baking and to make delicious dressings and sauces. It has no trans fat or cholesterol, and contains omega-3s.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Goya+Veg+Oil-min.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/goyaVegOil.glb,12,1776,usd,Grocery,2023-10-04 05:27:31,2023-10-19 13:02:53,0,10,Oil
12,Sprite,"Carbonated Water, Sugar, Acids (Citric Acid, Tartaric Acid), Acidity Regulator (Sodium Citrates), Sweeteners (Acesulfame-K, Aspartame), Natural Lemon And Lime Flavourings.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Sprite-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Sprite.glb,10,1990,usd,Softdrinks,2023-10-04 05:48:59,2023-10-19 13:03:33,0,8,Carbonated
13,Dew,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CONCENTRATED ORANGE JUICE, CITRIC ACID, NATURAL FLAVOR, SODIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, SODIUM CITRATE, GUM ARABIC, ERYTHORBIC ACID (PRESERVES FRESHNESS), CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR), YELLOW 5.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Dew-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Dew.glb,10,996,usd,Softdrinks,2023-10-04 05:50:58,2023-10-19 13:03:34,0,8,Carbonated
14,SevenUp,"Nothing can Lift UP your day like the crisp and refreshing taste of 7UP. Ingredients Filtered Carbonated Water, Citric Acid, Potassium Citrate, Potassium Benzoate (Preservative), Aspartame, Acesulfame Potassium, Natural Flavor, Calcium Disodium EDTA (to Protect Flavor).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/SevenUp-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/7up.glb,10,1996,usd,Softdrinks,2023-10-04 05:51:33,2023-10-19 13:03:35,0,8,Carbonated
15,Coka Cola,"Carbonated water – Approximately 90% of Coca-Cola is water. ... Sugar – Coca-Cola Classic's sweet taste (and also some of its mouthfeel) comes from sugar. ... Caramel colour – A very specific caramel is made especially for Coca-Cola, to give the drink its characteristic colour.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Coka+Cola-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/cokaCola.glb,10,2000,usd,Softdrinks,2023-10-04 05:52:19,2023-10-19 13:03:35,0,8,Carbonated
16,Pepsi,"Carbonated Water, Sugar, Colour (Caramel E150d), Acid (Phosphoric Acid), Flavourings (including Caffeine), Sweeteners (Acesulfame K, Sucralose).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Pepsi-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Pepsi.glb,10,1989,usd,Softdrinks,2023-10-04 05:53:06,2023-10-19 13:03:36,0,8,Carbonated
17,Fanta,"Carbonated Water, Orange Fruit from Concentrate (4%), Citric Acid, Sweeteners (Acesulfame K, Aspartame), Preservative (Potassium Sorbate), Malic Acid, Natural Orange Flavouring with Other Natural Flavourings, Vegetable Concentrates (Carrot, Pumpkin), Antioxidant (Ascorbic Acid), Stabiliser (Guar Gum).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Fanta-min.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Fanta.glb,10,1958,usd,Softdrinks,2023-10-04 05:53:51,2023-10-19 13:03:36,0,8,Carbonated
19,Cheese,"Cheese is a dairy product produced in wide ranges of flavors, textures, and forms by coagulation of the milk protein casein. It comprises proteins and fat from milk (usually the milk of cows, buffalo, goats, or sheep).",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Cheese-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Cheese%20.glb,20,1996,usd,Cheese,2023-10-04 07:01:04,2023-10-19 13:04:34,0,12,Cheese
20,Meat,"Meat is defined as the flesh of animals (including fishes and birds) used as food, that can be part of a healthful diet. Meat is a major source of key nutrients, such as high-quality protein, iron, and B vitamins for many Americans.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/Meat-min.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/meat.glb,30,1983,usd,Meat,2023-10-04 07:02:21,2023-10-19 13:04:35,0,27,Beef
21,Barilla Farfalle Pasta,"Farfalle, which means “butterfly” in Italian, are rectangular or oval pieces of pasta that are pinched in the middle. Barilla® Farfalle is made with non-GMO ingredients.",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/products/brilla.png,2,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/barillaFarfallePasta.glb,5,2000,usd,Grocery,2023-10-04 07:13:40,2023-10-19 13:04:45,0,0,Pasta
28,Orange Flower,"Radiant and warm, the orange flower bursts with lively energy. Its vibrant petals exude a cheerful glow, creating a captivating spectacle that symbolizes enthusiasm and creativity in nature's palette",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/orange.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Orange.glb,5,994,usd,Grocery,2023-10-10 11:06:50,2023-10-19 13:05:14,0,0,Flower
29,Pink Flower,"Blooming in delicate shades of pink, this charming flower showcases tender petals, radiating grace and warmth. A symbol of love and admiration, it captivates with its soft hue and gentle allure",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/pink.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Pink.glb,5,1000,usd,Grocery,2023-10-10 11:09:38,2023-10-19 13:05:15,0,0,Flower
30,Red Flower,"In the garden of vibrant hues, the red flower stands bold and passionate. Its velvety petals exude a timeless elegance, evoking love and intensity in a captivating display of natural beauty",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/red.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Red.glb,5,1000,usd,Grocery,2023-10-10 11:10:26,2023-10-19 13:05:16,0,0,Flower
32,Blue Flower,"Nestled in nature's embrace, the blue flower unfolds with serene elegance. Its petals, a tranquil symphony of blue hues, create a soothing spectacle, invoking calm and a sense of peaceful beauty",https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Products+2D+Images/blue.png,3,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/gltf-binary/Blue.glb,5,995,usd,Grocery,2023-10-10 11:13:21,2023-10-19 13:05:16,0,0,Flower
44,Cup Cake,Soft Cake,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/pic.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/model.glb,20,51,usd,Grocery,2023-10-16 11:58:22,2023-10-19 13:05:27,0,0,Cakes
45,Apple,apples,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/Apple.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/apple.glb,5,1000,usd,Fruits,2023-10-23 06:29:12,2023-10-23 06:58:07,0,0,apple
46,Banana,Banana,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/Banana.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/banana.glb,3,1000,usd,Fruits,2023-10-23 06:33:10,2023-10-23 06:58:07,0,0,banana
47,Carrot,Carrot vegetable,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/Carrot.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/carrot.glb,5,1000,usd,Vegtables,2023-10-23 06:36:53,2023-10-23 06:59:04,0,0,carrot
48,HeirloomTomato,HeirloomTomato,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/HeirloomTomato.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/HeirloomTomato.glb,2,500,usd,Vegtables,2023-10-23 06:37:51,2023-10-23 06:59:04,0,0,tommato
49,Kiwi,Kiwi vegetable,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/Kiwi.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/kiwi.glb,5,1000,usd,Vegtables,2023-10-23 06:38:41,2023-10-23 06:59:05,0,0,kiwi
50,NapaCabbage,NapaCabbage,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/NapaCabbage.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/Napacabbage.glb,3,1000,usd,Vegtables,2023-10-23 06:39:27,2023-10-23 06:59:06,0,0,cabbage
51,Pomegranate,Pomegranate vegetable,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/Pomegranate.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/Pomegranate.glb,4,1000,usd,Vegtables,2023-10-23 06:40:12,2023-10-23 06:59:06,0,0,Pomegranate
52,RedPepper,RedPepper,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/jpeg/RedPepper.jpg,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/pepper.glb,4,1000,usd,Vegtables,2023-10-23 06:41:48,2023-10-23 06:59:07,0,0,pepper
53,Bounty,Bounty,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/png/Bounty.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/Bounty.glb,2,1000,usd,Chocolates,2023-10-23 06:43:00,2023-10-23 06:59:08,0,0,chocolates
54,Hersheys,hersheys,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/png/hersheys.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/Hershey_s.glb,2,1000,usd,Chocolates,2023-10-23 06:43:53,2023-10-23 06:59:08,0,0,chocolates
55,Kitkat,kitkat,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/png/kitkat.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/KitKat.glb,2,1000,usd,Chocolates,2023-10-23 06:44:38,2023-10-23 06:59:09,0,0,chocolates
56,Lion,kitkat,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/png/Lion.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/Lion.glb,2,1000,usd,Chocolates,2023-10-23 06:45:19,2023-10-23 06:59:09,0,0,chocolates
57,Lupo,Lupo Choco,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/png/lupo.png,1,https://nifty-temp-bucket.s3.us-east-2.amazonaws.com/development/octet-stream/Luppo.glb,2,1000,usd,Chocolates,2023-10-23 06:53:30,2023-10-23 06:59:10,0,0,chocolates
